#Organism Name,Organism Groups,Strain,BioSample,BioProject,Size(Mb),GC%,Type,Replicons,CDS,Release Date
"(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.","Eukaryota;Animals;Fishes","","","PRJNA353408",0.016581,43.3207,"mitochondrion","NC_031807.1/KU146531.1",13,"2016-11-14T00:00:00Z"
"Aacanthocnema dobsoni","Eukaryota;Animals;Insects","","","PRJNA483618",0.015179,21.9382,"mitochondrion","NC_038132.1/MG989216.1",13,"2018-07-31T00:00:00Z"
"Abacion magnum","Eukaryota;Animals;Other Animals","","","PRJNA214390",0.01516,33.4037,"mitochondrion","NC_021932.1/JX437062.1",13,"2013-08-06T00:00:00Z"
"Abalistes stellaris","Eukaryota;Animals;Fishes","","","PRJNA33735",0.016502,44.4189,"mitochondrion","NC_011943.1/AP009202.1",13,"2009-01-22T00:00:00Z"
"Abax parallelepipedus","Eukaryota;Animals;Insects","","","PRJNA328640",0.017701,20.7446,"mitochondrion","NC_030592.1/KT876877.1",13,"2016-07-12T00:00:00Z"
"Abbottina binhi","Eukaryota;Animals;Fishes","","","PRJNA642447",0.016609,44.1387,"mitochondrion","NC_048988.1/MK852688.1",13,"2020-06-28T00:00:00Z"
"Abbottina obtusirostris","Eukaryota;Animals;Fishes","","","PRJNA281841",0.016599,44.0629,"mitochondrion","NC_026900.1/KP727758.1",13,"2015-04-22T00:00:00Z"
"Abbottina rivularis","Eukaryota;Animals;Fishes","","","PRJNA241204",0.016597,44.2911,"mitochondrion","NC_023781.1/KF577979.1",13,"2014-03-13T00:00:00Z"
"Abidama producta","Eukaryota;Animals;Insects","","","PRJNA70039",0.015277,22.6484,"mitochondrion","NC_015799.1/GQ337955.1",13,"2011-07-14T00:00:00Z"
"Abisara fylloides","Eukaryota;Animals;Insects","","","PRJNA212609",0.015301,18.8288,"mitochondrion","NC_021746.1/HQ259069.1",13,"2013-07-18T00:00:00Z"
"Ablennes hians","Eukaryota;Animals;Fishes","","","PRJNA31075",0.016825,41.7415,"mitochondrion","NC_011180.1/AB373007.1",13,"2008-08-27T00:00:00Z"
"Aborichthys elongatus","Eukaryota;Animals;Fishes","","","PRJNA350101",0.016544,40.5404,"mitochondrion","NC_031582.1/AP011304.1",13,"2016-10-21T00:00:00Z"
"Abramis brama","Eukaryota;Animals;Fishes","","","PRJNA190179",0.016607,43.0421,"mitochondrion","NC_020356.1/AP009305.1",13,"2013-02-25T00:00:00Z"
"Abramites hypselonotus","Eukaryota;Animals;Fishes","","","PRJNA805699",0.016685,42.1277,"mitochondrion","NC_060323.1/MW541938.1",13,"2022-02-11T00:00:00Z"
"Abraxas suspecta","Eukaryota;Animals;Insects","","","PRJNA387870",0.015537,19.1285,"mitochondrion","NC_034804.1/KY095828.1",13,"2017-05-24T00:00:00Z"
"Abraximorpha davidii","Eukaryota;Animals;Insects","","","PRJNA707673",0.015469,18.4563,"mitochondrion","NC_053717.1/MT371044.1",13,"2021-03-26T00:00:00Z"
"Abronia graminea","Eukaryota;Animals;Reptiles","","","PRJNA12408",0.016016,39.6978,"mitochondrion","NC_005958.1/AB080273.1",13,"2004-07-02T00:00:00Z"
"Abrostola tripartita","Eukaryota;Animals;Insects","","SAMEA7520667","PRJEB43728",0.015302,19.8601,"mitochondrion","MT:HG996517.1",0,"2021-03-19T00:00:00Z"
"Abrota ganga","Eukaryota;Animals;Insects","","","PRJNA253431",0.015356,18.794,"mitochondrion","NC_024404.1/KF590536.1",13,"2014-06-24T00:00:00Z"
"Abrus expansivus","Eukaryota;Animals;Insects","","","PRJNA594675",0.015904,25.2578,"mitochondrion","NC_045238.1/MK033020.1",13,"2019-12-12T00:00:00Z"
"Abscondita anceyi","Eukaryota;Animals;Insects","","","PRJNA504191",0.016519,20.1586,"mitochondrion","NC_039706.1/MH020192.1",13,"2018-11-09T00:00:00Z"
"Abscondita terminalis","Eukaryota;Animals;Insects","","","PRJNA573396",0.016402,20.1988,"mitochondrion","NC_044776.1/MK292092.1",13,"2019-09-21T00:00:00Z"
"Abudefduf bengalensis","Eukaryota;Animals;Fishes","","","PRJNA527593",0.016776,44.8259,"mitochondrion","NC_041192.1/MH678614.1",13,"2019-03-18T00:00:00Z"
"Abudefduf vaigiensis","Eukaryota;Animals;Fishes","","","PRJNA18909",0.016703,45.405,"mitochondrion","NC_009064.1/AP006016.1",13,"2007-02-27T00:00:00Z"
"Acanella arbuscula","Eukaryota;Animals;Other Animals","","","PRJNA30439",0.018616,37.2529,"mitochondrion","NC_011016.2/EF672731.2",14,"2008-06-23T00:00:00Z"
"Acanthacorydalis orientalis","Eukaryota;Animals;Insects","","","PRJNA238088",0.015753,23.2337,"mitochondrion","NC_023462.1/KF840564.1",13,"2014-02-13T00:00:00Z"
"Acanthaluteres brownii","Eukaryota;Animals;Fishes","","","PRJNA33743",0.016441,47.2903,"mitochondrion","NC_011947.1/AP009212.1",13,"2009-01-22T00:00:00Z"
"Acanthaphritis unoorum","Eukaryota;Animals;Fishes","","","PRJNA383179",0.01662,42.864,"mitochondrion","NC_034344.1/AP017452.1",13,"2017-04-17T00:00:00Z"
"Acanthaspis cincticrus","Eukaryota;Animals;Insects","","","PRJNA479056",0.015686,28.0122,"mitochondrion","NC_037735.1/KY069958.1",13,"2018-07-05T00:00:00Z"
"Acanthaspis ruficeps","Eukaryota;Animals;Insects","","","PRJNA453299",0.015846,28.1459,"mitochondrion","NC_037369.1/KX505848.1",13,"2018-04-24T00:00:00Z"
"Acanthaster brevispinus","Eukaryota;Animals;Other Animals","","","PRJNA16358",0.016254,43.6262,"mitochondrion","NC_007789.1/AB231476.1",13,"2006-02-08T00:00:00Z"
"Acanthaster planci","Eukaryota;Animals;Other Animals","","","PRJNA397419",0.016234,43.6615,"mitochondrion","MT:NC_007788.1/",13,"2006-02-08T00:00:00Z"
"Acanthis flammea","Eukaryota;Animals;Birds","","","PRJNA287404",0.01682,45.4875,"mitochondrion","NC_027285.1/KR422696.1",13,"2015-06-18T00:00:00Z"
"Acanthisitta chloris","Eukaryota;Animals;Birds","","","PRJNA672383",0.016935,46.4895,"mitochondrion","NC_051004.1/",13,"2020-10-27T00:00:00Z"
"Acanthisitta chloris","Eukaryota;Animals;Birds","bAcaChl1","SAMN16442762","PRJNA561954",0.019029,46.1821,"mitochondrion","MT:CM029221.1",0,"2021-02-17T00:00:00Z"
"Acanthobrama persidis","Eukaryota;Animals;Fishes","","","PRJNA350103",0.016613,44.2244,"mitochondrion","NC_031562.1/AP011264.1",13,"2016-10-21T00:00:00Z"
"Acanthocardia tuberculata","Eukaryota;Animals;Other Animals","","","PRJNA17905",0.016104,40.0956,"mitochondrion","NC_008452.1/DQ632743.1",12,"2006-10-05T00:00:00Z"
"Acanthocepola krusensternii","Eukaryota;Animals;Fishes","","","PRJNA383180",0.016415,45.7447,"mitochondrion","NC_034333.1/AP017434.1",13,"2017-04-17T00:00:00Z"
"Acanthocheilonema viteae","Eukaryota;Animals;Roundworms","","","PRJNA76917",0.013724,26.4573,"mitochondrion","NC_016197.1/HQ186249.1",12,"2011-11-15T00:00:00Z"
"Acanthochitona avicula","Eukaryota;Animals;Other Animals","","","PRJNA628398",0.015203,31.4346,"mitochondrion","NC_047426.1/MN864063.1",13,"2020-04-26T00:00:00Z"
"Acanthochromis polyacanthus","Eukaryota;Animals;Fishes","Apoly-LR-REF","SAMN16534234","PRJNA671567",0.016642,46.7312,"mitochondrion","MT:CM038078.1",0,"2022-01-11T00:00:00Z"
"Acanthocobitis botia","Eukaryota;Animals;Fishes","","","PRJNA377006",0.01666,42.479,"mitochondrion","NC_033958.1/AP012138.1",13,"2017-02-27T00:00:00Z"
"Acanthocobitis zonalternans","Eukaryota;Animals;Fishes","","","PRJNA377008",0.016642,43.5705,"mitochondrion","NC_033959.1/AP012140.1",13,"2017-02-27T00:00:00Z"
"Acanthodactylus aureus","Eukaryota;Animals;Reptiles","","","PRJNA790439",0.017021,40.3443,"mitochondrion","NC_059775.1/MW496115.1",13,"2022-01-04T00:00:00Z"
"Acanthodactylus boskianus","Eukaryota;Animals;Reptiles","","","PRJNA790438",0.017143,42.0463,"mitochondrion","NC_059772.1/MW496112.1",13,"2022-01-04T00:00:00Z"
"Acanthodactylus erythrurus","Eukaryota;Animals;Reptiles","","","PRJNA790437",0.016827,39.1038,"mitochondrion","NC_059773.1/MW496113.1",13,"2022-01-04T00:00:00Z"
"Acanthodactylus guineensis","Eukaryota;Animals;Reptiles","","","PRJNA790193",0.016963,39.2442,"mitochondrion","NC_059781.1/MW496123.1",13,"2022-01-04T00:00:00Z"
