TaxID,Superkingdom,Phylum,Family,Genus,Species,Strain,BioProject,BioSample,Genome.id,Assembly,Mitochondrion.id,Scaffolds,Genome.size,Genome.GC,Genome.CDS,Mitochondrion.size,Mitochondrion.GC,Mitochondrion.CDS,size.ratio,GenBank.FTP
470939,Eukaryota,Arthropoda,Gryllidae,Teleogryllus,Teleogryllus occipitalis,,PRJDB9056,SAMD00199296,mitochondrion MT:LC521855.1,GCA_011170035.1,MT:LC521855.1,19866,1933.85,26.5,13,0.015501,26.5273,13,124756.4673,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/170/035/GCA_011170035.1_Tocci_1.0
72036,Eukaryota,Arthropoda,Caligidae,Lepeophtheirus,Lepeophtheirus salmonis,IoA-00,PRJEB43242,SAMEA6635856,chromosome 1:HG994580.1; chromosome 2:HG994581.1; chromosome 3:HG994582.1; chromosome 4:HG994583.1; chromosome 5:HG994584.1; chromosome 6:HG994585.1; chromosome 7:HG994586.1; chromosome 8:HG994587.1; chromosome 9:HG994588.1; chromosome 10:HG994589.1; chromosome 11:HG994590.1; chromosome 12:HG994591.1; chromosome 13:HG994592.1; chromosome 14:HG994593.1; chromosome 15:HG994594.1; mitochondrion mitochondrion:HG994595.1,GCA_905330665.1,mitochondrion:HG994595.1,297,632.198,30.8628,17093,0.015946,34.7548,12,39646.18086,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/330/665/GCA_905330665.1_LSAL_IOA00_R2
9598,Eukaryota,Chordata,Hominidae,Pan,Pan troglodytes,Yerkes chimp pedigree #C0471 (Clint),PRJNA10627,SAMN06272697,chromosome 1:NC_036879.1/CM009238.2; chromosome 2A:NC_036880.1/CM009239.2; chromosome 2B:NC_036881.1/CM009240.2; chromosome 3:NC_036882.1/CM009241.2; chromosome 4:NC_036883.1/CM009242.2; chromosome 5:NC_036884.1/CM009243.2; chromosome 6:NC_036885.1/CM009244.2; chromosome 7:NC_036886.1/CM009245.2; chromosome 8:NC_036887.1/CM009246.2; chromosome 9:NC_036888.1/CM009247.2; chromosome 10:NC_036889.1/CM009248.2; chromosome 11:NC_036890.1/CM009249.2; chromosome 12:NC_036891.1/CM009250.2; chromosome 13:NC_036892.1/CM009251.2; chromosome 14:NC_036893.1/CM009252.2; chromosome 15:NC_036894.1/CM009253.2; chromosome 16:NC_036895.1/CM009254.2; chromosome 17:NC_036896.1/CM009255.2; chromosome 18:NC_036897.1/CM009256.2; chromosome 19:NC_036898.1/CM009257.2; chromosome 20:NC_036899.1/CM009258.2; chromosome 21:NC_036900.1/CM009259.2; chromosome 22:NC_036901.1/CM009260.2; chromosome X:NC_036902.1/CM009261.2; chromosome Y:NC_006492.4/; mitochondrion MT:NC_001643.1/,GCA_002880755.3,MT:NC_001643.1/,4432,3050.4,40.8082,80811,0.016554,43.6873,13,184269.6629,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/880/755/GCA_002880755.3_Clint_PTRv2
8954,Eukaryota,Chordata,Falconidae,Falco,Falco peregrinus,,PRJNA198010,SAMN02981425,mitochondrion MT:NC_000878.1/,GCA_000337955.1,MT:NC_000878.1/,7021,1171.97,41.8,31140,0.018068,44.4654,13,64864.40115,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/955/GCA_000337955.1_F_peregrinus_v1.0
59894,Eukaryota,Chordata,Muscicapidae,Ficedula,Ficedula albicollis,OC2,PRJNA208061,SAMN02981387,chromosome 1:NC_021671.1/CM001988.1; chromosome 1A:NC_021672.1/CM001989.1; chromosome 2:NC_021673.1/CM001990.1; chromosome 3:NC_021674.1/CM001991.1; chromosome 4:NC_021675.1/CM001992.1; chromosome 4A:NC_021676.1/CM001993.1; chromosome 5:NC_021677.1/CM001994.1; chromosome 6:NC_021678.1/CM001995.1; chromosome 7:NC_021679.1/CM001996.1; chromosome 8:NC_021680.1/CM001997.1; chromosome 9:NC_021681.1/CM001998.1; chromosome 10:NC_021682.1/CM001999.1; chromosome 11:NC_021683.1/CM002000.1; chromosome 12:NC_021684.1/CM002001.1; chromosome 13:NC_021685.1/CM002002.1; chromosome 14:NC_021686.1/CM002003.1; chromosome 15:NC_021687.1/CM002004.1; chromosome 17:NC_021688.1/CM002005.1; chromosome 18:NC_021689.1/CM002006.1; chromosome 19:NC_021690.1/CM002007.1; chromosome 20:NC_021691.1/CM002008.1; chromosome 21:NC_021692.1/CM002009.1; chromosome 22:NC_021693.1/CM002010.1; chromosome 23:NC_021694.1/CM002011.1; chromosome 24:NC_021695.1/CM002012.1; chromosome 25:NC_021696.1/CM002013.1; chromosome 26:NC_021697.1/CM002014.1; chromosome 27:NC_021698.1/CM002015.1; chromosome 28:NC_021699.1/CM002016.1; chromosome Z:NC_021700.1/CM002017.1; linkage group LG34:NC_021701.1/CM002018.1; linkage group LG35:NC_021702.1/CM002019.1; linkage group LGE22:NC_021703.1/CM002020.1; mitochondrion MT:NC_021621.1/KF293721.1,GCA_000247815.2,MT:NC_021621.1/KF293721.1,21836,1118.34,44.2999,26464,0.016787,48.3529,13,66619.40788,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/815/GCA_000247815.2_FicAlb1.5
8478,Eukaryota,Chordata,Emydidae,Chrysemys,Chrysemys picta bellii,RCT428,PRJNA210179,SAMN02713681,chromosome 1:NC_024218.2/CM002655.2; chromosome 2:NC_024219.2/CM002656.2; chromosome 3:NC_024220.2/CM002657.2; chromosome 4:NC_024221.2/CM002658.2; chromosome 5:NC_024222.2/CM002659.2; chromosome 6:NC_024223.2/CM002660.2; chromosome 7:NC_024224.2/CM002661.2; chromosome 8:NC_024225.2/CM002662.2; chromosome 9:NC_056657.1/CM024786.1; chromosome 10:NC_024226.2/CM002663.2; chromosome 11:NC_024227.2/CM002664.2; chromosome 13:NC_024228.2/CM002665.2; chromosome 15:NC_024229.2/CM002666.2; chromosome 17:NC_024230.2/CM002667.2; chromosome 18:NC_056658.1/CM024787.1; chromosome 19:NC_024231.2/CM002668.2; chromosome 20:NC_056659.1/CM024788.1; chromosome 21:NC_024232.2/CM002669.2; chromosome 24:NC_024234.2/CM002671.2; mitochondrion MT:NC_023890.1/,GCA_000241765.5,MT:NC_023890.1/,76428,2481.37,44.8071,57064,0.016875,39.0163,13,147044.1481,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/765/GCA_000241765.5_Chrysemys_picta_BioNano-3.0.4
181119,Eukaryota,Chordata,Paridae,Pseudopodoces,Pseudopodoces humilis,,PRJNA217046,SAMN02981490,mitochondrion MT:NC_014341.1/,GCA_000331425.1,MT:NC_014341.1/,5406,1043,41.8001,27572,0.016809,47.1474,13,62050.09221,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/425/GCA_000331425.1_PseHum1.0
8932,Eukaryota,Chordata,Columbidae,Columba,Columba livia,,PRJNA217047,SAMN02981415,mitochondrion MT:NC_013978.1/,GCA_000337935.1,MT:NC_013978.1/,14923,1107.99,41.6001,32508,0.017229,45.8761,13,64309.59429,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/935/GCA_000337935.1_Cliv_1.0
8496,Eukaryota,Chordata,Alligatoridae,Alligator,Alligator mississippiensis,KSC_2009_1,PRJNA221578,SAMN02981418,mitochondrion MT:NC_001922.1/,GCA_000281125.4,MT:NC_001922.1/,7094,2161.73,44.4,42388,0.016646,43.0314,13,129864.8324,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/125/GCA_000281125.4_ASM28112v4
9402,Eukaryota,Chordata,Pteropodidae,Pteropus,Pteropus alecto,,PRJNA232518,SAMN01103203,mitochondrion MT:NC_023122.1/,GCA_000325575.1,MT:NC_023122.1/,65598,1985.98,39.9,39706,0.016739,41.6751,13,118643.8855,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/575/GCA_000325575.1_ASM32557v1
9713,Eukaryota,Chordata,Phocidae,Leptonychotes,Leptonychotes weddellii,WS11-02,PRJNA232772,SAMN00672463,mitochondrion MT:NC_008424.1/,GCA_000349705.1,MT:NC_008424.1/,16711,3156.9,43.8,40286,0.016603,40.1193,13,190140.3361,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/705/GCA_000349705.1_LepWed1.0
244447,Eukaryota,Chordata,Cynoglossidae,Cynoglossus,Cynoglossus semilaevis,Cse_v1.0,PRJNA251742,SAMN02595200,chromosome 1:NC_024307.1/CM002373.1; chromosome 2:NC_024308.1/CM002374.1; chromosome 3:NC_024309.1/CM002375.1; chromosome 4:NC_024310.1/CM002376.1; chromosome 5:NC_024311.1/CM002377.1; chromosome 6:NC_024312.1/CM002378.1; chromosome 7:NC_024313.1/CM002379.1; chromosome 8:NC_024314.1/CM002380.1; chromosome 9:NC_024315.1/CM002381.1; chromosome 10:NC_024316.1/CM002382.1; chromosome 11:NC_024317.1/CM002383.1; chromosome 12:NC_024318.1/CM002384.1; chromosome 13:NC_024319.1/CM002385.1; chromosome 14:NC_024320.1/CM002386.1; chromosome 15:NC_024321.1/CM002387.1; chromosome 16:NC_024322.1/CM002388.1; chromosome 17:NC_024323.1/CM002389.1; chromosome 18:NC_024324.1/CM002390.1; chromosome 19:NC_024325.1/CM002391.1; chromosome 20:NC_024326.1/CM002392.1; chromosome W:NC_024327.1/CM002393.1; chromosome Z:NC_024328.1/CM002394.1; mitochondrion MT:NC_012825.1/,GCA_000523025.1,MT:NC_012825.1/,31181,470.199,41.2788,39241,0.016731,39.4119,13,28103.46064,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/523/025/GCA_000523025.1_Cse_v1.0
128390,Eukaryota,Chordata,Threskiornithidae,Nipponia,Nipponia nippon,BGI_Y956,PRJNA253829,SAMN02596464,mitochondrion MT:NC_008132.1/,GCA_000708225.1,MT:NC_008132.1/,59555,1223.86,42.0001,17089,0.016732,46.0794,13,73144.8721,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/225/GCA_000708225.1_ASM70822v1
188379,Eukaryota,Chordata,Ardeidae,Egretta,Egretta garzetta,BGI_Z169,PRJNA253831,SAMN02596466,mitochondrion MT:NC_023981.1/,GCA_000687185.1,MT:NC_023981.1/,11791,1206.5,42.5,23679,0.017361,45.2681,13,69494.84477,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/185/GCA_000687185.1_ASM68718v1
9798,Eukaryota,Chordata,Equidae,Equus,Equus przewalskii,Burgud,PRJNA253941,SAMN02808398,mitochondrion MT:NC_024030.1/,GCA_000696695.1,MT:NC_024030.1/,53097,2395.95,41.3,38416,0.016592,41.8877,13,144403.9296,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/695/GCA_000696695.1_Burgud
1026970,Eukaryota,Chordata,Spalacidae,Nannospalax,Nannospalax galili,Female #2095,PRJNA254049,SAMN02299330,mitochondrion MT:NC_020754.1/,GCA_000622305.1,MT:NC_020754.1/,154976,3061.42,41.6,47817,0.016409,38.4058,13,186569.5655,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/305/GCA_000622305.1_S.galili_v1.0
269814,Eukaryota,Cnidaria,Kudoidae,Kudoa,Kudoa iwatai,KIW-1.11.2010,PRJNA261052,SAMN03068681,mitochondrion 1:LT671462.1; mitochondrion 2:LT671463.1,GCA_001407235.2,1:LT671462.1,1639,31.1974,23.605,10,0.01588,30.9257,10,1964.571788,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/407/235/GCA_001407235.2_Kudoa1
9238,Eukaryota,Chordata,Spheniscidae,Pygoscelis,Pygoscelis adeliae,BGI_AS28,PRJNA261076,SAMN02596601,mitochondrion MT:NC_021137.1/,GCA_000699105.1,MT:NC_021137.1/,19265,1216.62,41.8001,16927,0.017486,46.1798,13,69576.8043,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/105/GCA_000699105.1_ASM69910v1
37040,Eukaryota,Chordata,Gaviidae,Gavia,Gavia stellata,BGI_N328,PRJNA261843,SAMN02324832,mitochondrion MT:NC_007007.1/,GCA_000690875.1,MT:NC_007007.1/,61831,1129.69,41.1001,15697,0.017573,45.8203,13,64285.5517,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/875/GCA_000690875.1_ASM69087v1
441894,Eukaryota,Chordata,Struthionidae,Struthio,Struthio camelus australis,BGI_N308,PRJNA263340,SAMN02316164,mitochondrion MT:NC_002785.1/,GCA_000698965.1,MT:NC_002785.1/,6915,1225.04,41.3,25438,0.016595,44.6098,13,73819.82525,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/965/GCA_000698965.1_ASM69896v1
100784,Eukaryota,Chordata,Gruidae,Balearica,Balearica regulorum gibbericeps,BGI_N312,PRJNA264996,SAMN02318095,mitochondrion MT:NC_020569.1/,GCA_000709895.1,MT:NC_020569.1/,53491,1127.62,41.2001,16163,0.016802,44.9173,13,67112.24854,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/709/895/GCA_000709895.1_ASM70989v1
43346,Eukaryota,Chordata,Bovidae,Bison,Bison bison bison,TAMUID 2011002044,PRJNA266339,SAMN02947321,mitochondrion MT:NC_012346.1/,GCA_000754665.1,MT:NC_012346.1/,128431,2828.03,42.2,35554,0.016319,39.1568,13,173296.7706,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/754/665/GCA_000754665.1_Bison_UMD1.0
